"DATE_TIME";"1__1_2500_044_Engine_Speed__ECU_";"1__1_0181_001_P_Charge_Mix_A";"1__1_4540_007_Fuel_Flow"
"2021-06-03 10:52:24 745000us";0.00;1.01;0.00
"2021-06-03 10:52:24 750000us";0.00;1.01;0.00
"2021-06-03 10:52:24 755000us";0.00;1.01;0.00
"2021-06-03 10:52:24 760000us";0.00;1.01;0.00
"2021-06-03 10:52:24 765000us";0.00;1.01;0.00
"2021-06-03 10:52:24 770000us";0.00;1.01;0.00
"2021-06-03 10:52:24 775000us";0.00;1.01;0.00
"2021-06-03 10:52:24 780000us";0.00;1.01;0.00
"2021-06-03 10:52:24 785000us";0.00;1.01;0.00
"2021-06-03 10:52:24 790000us";0.00;1.01;0.00
"2021-06-03 10:52:24 795000us";0.00;1.01;0.00
"2021-06-03 10:52:24 800000us";0.00;1.01;0.00
"2021-06-03 10:52:24 805000us";0.00;1.01;0.00
"2021-06-03 10:52:24 810000us";0.00;1.01;0.00
"2021-06-03 10:52:24 815000us";0.00;1.01;0.00
"2021-06-03 10:52:24 820000us";0.00;1.01;0.00
"2021-06-03 10:52:24 825000us";0.00;1.01;0.00
"2021-06-03 10:52:24 830000us";0.00;1.01;0.00
"2021-06-03 10:52:24 835000us";0.00;1.01;0.00
"2021-06-03 10:52:24 840000us";0.00;1.01;0.00
"2021-06-03 10:52:24 845000us";0.00;1.01;0.00
"2021-06-03 10:52:24 850000us";0.00;1.01;0.00
"2021-06-03 10:52:24 855000us";0.00;1.01;0.00
"2021-06-03 10:52:24 860000us";0.00;1.01;0.00
"2021-06-03 10:52:24 865000us";0.00;1.01;0.00
"2021-06-03 10:52:24 870000us";0.00;1.01;0.00
"2021-06-03 10:52:24 875000us";0.00;1.01;0.00
"2021-06-03 10:52:24 880000us";0.00;1.01;0.00
"2021-06-03 10:52:24 885000us";0.00;1.01;0.00
"2021-06-03 10:52:24 890000us";0.00;1.01;0.00
"2021-06-03 10:52:24 895000us";0.00;1.01;0.00
"2021-06-03 10:52:24 900000us";0.00;1.01;0.00
"2021-06-03 10:52:24 905000us";0.00;1.01;0.00
"2021-06-03 10:52:24 910000us";0.00;1.01;0.00
"2021-06-03 10:52:24 915000us";0.00;1.01;0.00
"2021-06-03 10:52:24 920000us";0.00;1.01;0.00
"2021-06-03 10:52:24 925000us";0.00;1.01;0.00
"2021-06-03 10:52:24 930000us";0.00;1.01;0.00
"2021-06-03 10:52:24 935000us";0.00;1.01;0.00
"2021-06-03 10:52:24 940000us";0.00;1.01;0.00
"2021-06-03 10:52:24 945000us";0.00;1.01;0.00
"2021-06-03 10:52:24 950000us";0.00;1.01;0.00
"2021-06-03 10:52:24 955000us";0.00;1.01;0.00
"2021-06-03 10:52:24 960000us";0.00;1.01;0.00
"2021-06-03 10:52:24 965000us";0.00;1.01;0.00
"2021-06-03 10:52:24 970000us";0.00;1.01;0.00
"2021-06-03 10:52:24 975000us";0.00;1.01;0.00
"2021-06-03 10:52:24 980000us";0.00;1.01;0.00
"2021-06-03 10:52:24 985000us";0.00;1.01;0.00
"2021-06-03 10:52:24 990000us";0.00;1.01;0.00
"2021-06-03 10:52:24 995000us";0.00;1.01;0.00
"2021-06-03 10:52:25 000000us";0.00;1.01;0.00
"2021-06-03 10:52:25 005000us";0.00;1.01;0.00
"2021-06-03 10:52:25 010000us";0.00;1.01;0.00
"2021-06-03 10:52:25 015000us";0.00;1.01;0.00
"2021-06-03 10:52:25 020000us";0.00;1.01;0.00
"2021-06-03 10:52:25 025000us";0.00;1.01;0.00
"2021-06-03 10:52:25 030000us";0.00;1.01;0.00
"2021-06-03 10:52:25 035000us";0.00;1.01;0.00
"2021-06-03 10:52:25 040000us";0.00;1.01;0.00
"2021-06-03 10:52:25 045000us";0.00;1.01;0.00
"2021-06-03 10:52:25 050000us";0.00;1.01;0.00
"2021-06-03 10:52:25 055000us";0.00;1.01;0.00
"2021-06-03 10:52:25 060000us";0.00;1.01;0.00
"2021-06-03 10:52:25 065000us";0.00;1.01;0.00
"2021-06-03 10:52:25 070000us";0.00;1.01;0.00
"2021-06-03 10:52:25 075000us";0.00;1.01;0.00
"2021-06-03 10:52:25 080000us";0.00;1.01;0.00
"2021-06-03 10:52:25 085000us";0.00;1.01;0.00
"2021-06-03 10:52:25 090000us";0.00;1.01;0.00
"2021-06-03 10:52:25 095000us";0.00;1.01;0.00
"2021-06-03 10:52:25 100000us";0.00;1.01;0.00
"2021-06-03 10:52:25 105000us";0.00;1.01;0.00
"2021-06-03 10:52:25 110000us";0.00;1.01;0.00
"2021-06-03 10:52:25 115000us";0.00;1.01;0.00
"2021-06-03 10:52:25 120000us";0.00;1.01;0.00
"2021-06-03 10:52:25 125000us";0.00;1.01;0.00
"2021-06-03 10:52:25 130000us";0.00;1.01;0.00
"2021-06-03 10:52:25 135000us";0.00;1.01;0.00
"2021-06-03 10:52:25 140000us";0.00;1.01;0.00
"2021-06-03 10:52:25 145000us";0.00;1.01;0.00
"2021-06-03 10:52:25 150000us";0.00;1.01;0.00
"2021-06-03 10:52:25 155000us";0.00;1.01;0.00
