"DATE_TIME";"1__1_4550_002_A___Actual_Valve_Position";"1__1_4550_003_A___Desired_Valve_Position";"1__1_4550_102_B___Actual_Valve_Position";"1__1_4550_103_B___Desired_Valve_Position"
"2025-05-19 11:48:24 168000us";61.60;61.60;61.60;61.60
"2025-05-19 11:48:24 268000us";61.20;61.60;61.60;61.60
"2025-05-19 11:48:24 368000us";62.00;62.00;61.60;62.00
"2025-05-19 11:48:24 468000us";62.00;61.20;62.00;61.60
"2025-05-19 11:48:24 568000us";62.00;61.60;61.60;62.00
"2025-05-19 11:48:24 668000us";61.60;61.60;61.60;61.60
"2025-05-19 11:48:24 768000us";61.60;61.60;61.60;61.60
"2025-05-19 11:48:24 868000us";62.00;61.60;61.60;62.00
"2025-05-19 11:48:24 968000us";62.00;61.60;61.60;62.00
"2025-05-19 11:48:25 068000us";61.60;62.00;61.60;62.00
"2025-05-19 11:48:25 168000us";61.60;62.00;61.60;62.00
"2025-05-19 11:48:25 268000us";62.40;61.60;62.40;61.60
"2025-05-19 11:48:25 368000us";62.00;62.00;61.60;61.60
"2025-05-19 11:48:25 468000us";61.60;62.40;61.60;62.40
"2025-05-19 11:48:25 568000us";61.60;62.00;62.00;62.00
"2025-05-19 11:48:25 668000us";62.40;61.60;62.00;62.00
"2025-05-19 11:48:25 768000us";62.00;62.00;62.00;62.00
"2025-05-19 11:48:25 868000us";61.60;62.40;62.00;62.40
"2025-05-19 11:48:25 968000us";62.00;61.60;62.40;61.60
"2025-05-19 11:48:26 068000us";62.00;61.60;62.00;61.60
"2025-05-19 11:48:26 168000us";62.00;61.60;61.60;61.60
"2025-05-19 11:48:26 268000us";61.60;61.60;61.60;61.60
"2025-05-19 11:48:26 368000us";61.60;61.60;61.60;61.60
"2025-05-19 11:48:26 468000us";61.60;61.20;61.60;61.20
"2025-05-19 11:48:26 568000us";61.60;61.60;61.20;61.20
"2025-05-19 11:48:26 668000us";61.60;61.60;61.20;61.60
"2025-05-19 11:48:26 768000us";61.20;61.60;61.20;61.60
"2025-05-19 11:48:26 868000us";61.20;61.20;61.60;61.20
"2025-05-19 11:48:26 968000us";61.20;61.60;61.60;61.60
"2025-05-19 11:48:27 068000us";61.20;61.60;61.60;61.60
"2025-05-19 11:48:27 168000us";61.60;61.60;61.60;61.20
"2025-05-19 11:48:27 268000us";61.60;61.20;61.60;61.20
"2025-05-19 11:48:27 368000us";61.60;61.20;61.20;61.20
"2025-05-19 11:48:27 468000us";61.20;61.60;61.20;61.60
"2025-05-19 11:48:27 568000us";61.20;61.20;61.20;61.20
"2025-05-19 11:48:27 668000us";61.20;61.20;61.20;61.20
"2025-05-19 11:48:27 768000us";60.80;61.20;61.20;61.20
"2025-05-19 11:48:27 868000us";60.80;61.20;60.80;61.20
"2025-05-19 11:48:27 968000us";60.80;61.20;60.80;61.20
"2025-05-19 11:48:28 068000us";60.80;60.40;61.20;60.80
"2025-05-19 11:48:28 168000us";60.80;61.20;60.80;61.20
"2025-05-19 11:48:28 268000us";60.80;60.80;60.80;60.80
"2025-05-19 11:48:28 368000us";60.80;61.20;60.80;60.80
"2025-05-19 11:48:28 468000us";60.80;60.80;60.80;60.80
"2025-05-19 11:48:28 568000us";60.80;61.20;60.80;61.20
"2025-05-19 11:48:28 668000us";60.80;60.80;60.80;60.80
"2025-05-19 11:48:28 768000us";60.80;61.20;60.80;60.80
"2025-05-19 11:48:28 868000us";60.80;61.20;61.20;60.80
"2025-05-19 11:48:28 968000us";60.80;60.80;61.20;60.80
"2025-05-19 11:48:29 068000us";60.80;61.20;61.20;61.20
"2025-05-19 11:48:29 168000us";60.80;61.20;61.20;61.20
"2025-05-19 11:48:29 268000us";61.20;61.20;61.20;61.20
"2025-05-19 11:48:29 368000us";61.20;61.60;61.20;61.20
"2025-05-19 11:48:29 468000us";61.20;61.60;61.20;61.60
"2025-05-19 11:48:29 568000us";61.20;61.60;61.60;61.60
"2025-05-19 11:48:29 668000us";61.20;61.60;61.60;61.20
"2025-05-19 11:48:29 768000us";61.60;62.00;61.60;61.60
"2025-05-19 11:48:29 868000us";61.60;61.60;61.60;61.60
"2025-05-19 11:48:29 968000us";61.20;61.60;61.60;61.20
"2025-05-19 11:48:30 068000us";61.20;61.60;61.60;61.60
"2025-05-19 11:48:30 168000us";61.20;61.60;61.60;61.60
"2025-05-19 11:48:30 268000us";61.60;62.00;61.60;62.00
"2025-05-19 11:48:30 368000us";61.60;61.60;62.00;61.60
"2025-05-19 11:48:30 468000us";61.60;62.00;61.60;61.60
"2025-05-19 11:48:30 568000us";61.60;62.00;61.60;61.60
"2025-05-19 11:48:30 668000us";61.60;62.00;62.00;62.00
"2025-05-19 11:48:30 768000us";61.60;62.00;62.00;62.00
"2025-05-19 11:48:30 868000us";61.60;62.00;62.00;62.00
"2025-05-19 11:48:30 968000us";62.00;62.00;62.00;62.00
